 Nuclides of the ICRP-07 Collection Decaying by Beta Minus Emission

                                         --- Energy ---
                     Decay      Yield    Mean  End Point
  Nuclide    T1/2    Mode       (/nt)    (MeV)   (MeV)
  ------------------------------------------------------
  In-117     43.2 m  B-       1.000E+00 0.24512 1.14042
  In-117m   116.2 m  B-IT     5.290E-01 0.65562 1.77030
  In-118      5.0 s  B-       1.000E+00 1.87908 4.42300
  In-118m   4.364 m  B-       1.000E+00 0.66630 2.24272
  In-119      2.4 m  B-       1.000E+00 0.59327 1.57699
  In-119m    18.0 m  B-IT     9.440E-01 1.06466 2.67537
  In-121     23.1 s  B-       1.000E+00 0.98476 2.43942
  In-121m    3.88 m  B-IT     9.880E-01 1.52463 3.67860
  Sn-121    27.03 h  B-       1.000E+00 0.11559 0.39000
  Sn-121m    43.9 y  ITB-     2.240E-01 0.12185 0.35915
  Sn-123    129.2 d  B-       1.000E+00 0.52269 1.40270
  Sn-123m   40.06 m  B-       1.000E+00 0.45853 1.26697
  Sn-125     9.64 d  B-       1.000E+00 0.80321 2.36300
  Sn-125m    9.52 m  B-       1.000E+00 0.79951 2.05858
  Sn-126  2.30E+5 y  B-       1.000E+00 0.08400 0.25010
  Sn-127     2.10 h  B-       1.000E+00 0.50859 3.20100
  Sn-127m    4.13 m  B-       1.000E+00 1.11013 2.71440
  Sn-128    59.07 m  B-       1.000E+00 0.18933 0.62880
  Sn-129     2.23 m  B-       1.000E+00 1.25399 3.38480
  Sn-130     3.72 m  B-       1.000E+00 0.41216 1.44568
  Sn-130m     1.7 m  B-       1.000E+00 1.37370 4.02684
  Sb-122   2.7238 d  B-ECB+   9.759E-01 0.57312 1.97860*
  Sb-124    60.20 d  B-       1.000E+00 0.37937 2.30177
  Sb-124m      93 s  ITB-     2.500E-01 0.42184 1.66682
  Sb-125  2.75856 y  B-       1.000E+00 0.08662 0.62192
  Sb-126    12.35 d  B-       1.000E+00 0.34132 1.89690
  Sb-126m   19.15 m  B-IT     8.600E-01 0.72192 1.91520
  Sb-127     3.85 d  B-       1.000E+00 0.30864 1.49274
  Sb-128     9.01 h  B-       1.000E+00 0.48429 2.04616
  Sb-128m    10.4 m  B-IT     9.640E-01 0.97963 2.58285
  Sb-129     4.40 h  B-       1.000E+00 0.39100 2.27450
  Sb-130     39.5 m  B-       1.000E+00 0.72655 2.90885
  Sb-130m     6.3 m  B-       1.000E+00 1.00971 3.43195
  Sb-131    23.03 m  B-       1.000E+00 0.58057 3.00775
  Sb-133      2.5 m  B-       1.000E+00 0.67601 2.90678
  Te-127     9.35 h  B-       1.000E+00 0.22443 0.69800
  Te-127m     109 d  ITB-     2.400E-02 0.25294 0.72862
  Te-129     69.6 m  B-       1.000E+00 0.52033 1.47010
  Te-129m    33.6 d  ITB-     3.700E-01 0.57401 1.60340
  Te-131     25.0 m  B-       1.000E+00 0.68866 2.08328
  Te-131m      30 h  B-IT     7.780E-01 0.17247 2.41525
  Te-132    3.204 d  B-       1.000E+00 0.06701 0.24014
  Te-133     12.5 m  B-       1.000E+00 0.67971 2.62992
  Te-133m    55.4 m  B-IT     8.250E-01 0.40664 3.27626
